Produksi_kWh,Kesusutan_kWh,Persentase_,Terjual_kWh,Pelanggan,Tahun,YearMonth,Bulan,Efficiency_,Energy_Loss_kWh,Customer_Growth_Rate
60602130.0,4902986.0,8.09,55699144.0,208534.0,2008,2008-04,4,91.90954839376107,4902986.0,0.13252792209663689
62819896.0,5858582.0,9.33,56961314.0,208608.0,2008,2008-05,5,90.67400238930674,5858582.0,0.035485820058123174
57942821.0,4102662.0,7.08,53840159.0,208588.0,2008,2008-06,6,92.91946451830503,4102662.0,-0.009587360024543301
63120453.0,6541998.0,10.36,56578455.0,208705.0,2008,2008-07,7,89.63569225334932,6541998.0,0.05609143383129567
62807827.0,6212210.0,9.89,56595617.0,208784.0,2008,2008-08,8,90.10917859011425,6212210.0,0.03785247119139079
62517204.0,7303114.0,11.68,55214090.0,208778.0,2008,2008-09,9,88.31823316986474,7303114.0,-0.002873783431678323
61357766.0,3495531.0,5.7,57862235.0,208804.0,2008,2008-11,11,94.30303410981423,3495531.0,0.012453419421576406
65688379.0,6006765.0,9.14,59681614.0,208979.0,2009,2009-02,2,90.85566565739124,6006765.0,0.0838106549682971
59743319.0,5332764.0,8.93,54410555.0,209121.0,2009,2009-03,3,91.07387388370573,5332764.0,0.06794941118486442
66330910.0,9278128.0,13.99,57052782.0,209197.0,2009,2009-04,4,86.01236135611587,9278128.0,0.03634259591336342
66574633.0,5532389.0,8.31,61042244.0,209253.0,2009,2009-05,5,91.68994442673083,5532389.0,0.026769026324480194
70266398.0,7038637.0,10.02,63227760.0,209319.0,2009,2009-06,6,89.98292469752043,7038638.0,0.03154076644062975
69089501.0,4198285.0,6.08,64891216.0,209441.0,2009,2009-07,7,93.92341102593866,4198285.0,0.05828424557732248
71887586.0,7127371.0,9.91,64760215.0,209774.0,2009,2009-08,8,90.08539388149714,7127371.0,0.15899465720656814
74920581.0,9578028.0,12.78,65342553.0,210168.0,2009,2009-09,9,87.21575851100248,9578028.0,0.18782117898310524
74289221.0,5964217.0,8.03,68325004.0,210538.0,2009,2009-10,10,91.97162533175573,5964217.0,0.17604963648130134
76029625.0,7107377.0,9.35,68922248.0,210673.0,2009,2009-11,11,90.65183209834325,7107377.0,0.06412144126000108
75271272.0,3430463.0,4.56,71840809.0,211198.0,2009,2009-12,12,95.44253350733864,3430463.0,0.2492013689461947
99192565.55925108,8327284.708502203,8.881541850220264,69866310.0,211771.0,2010,2010-01,1,70.43502666363285,29326255.559251085,0.2713093873994987
99192565.55925108,8327284.708502203,8.881541850220264,63922105.0,212579.0,2010,2010-02,2,64.4424354180225,35270460.559251085,0.3815442152136139
99192565.55925108,8327284.708502203,8.881541850220264,66387984.0,215491.0,2010,2010-03,3,66.92838684603252,32804581.559251085,1.369843681643057
